caller_id,enqueued_at_ms,accept_received_at_ms,ring_emitted_at_ms,dequeue_latency_ms,total_wait_ms,operator_id,status
1778646479.24,1778646480275,1778646499473,1778646499478,5,19203,op-000,ring
1778646479.25,1778646480369,1778646499575,1778646499580,5,19211,op-001,ring
1778646479.26,1778646480472,1778646499677,1778646499681,4,19209,op-002,ring
1778646480.27,1778646480571,1778646499776,1778646499780,4,19209,op-003,ring
1778646480.28,1778646480670,1778646499878,1778646499881,3,19211,op-004,ring
1778646480.29,1778646480767,1778646499978,1778646499981,3,19214,op-005,ring
1778646480.30,1778646480874,1778646500079,1778646500084,5,19210,op-006,ring
1778646480.31,1778646480971,1778646500180,1778646500183,3,19212,op-007,ring
1778646480.32,1778646481072,1778646500283,1778646500285,2,19213,op-008,ring
1778646480.33,1778646481170,1778646500384,1778646500386,2,19216,op-009,ring
1778646480.34,1778646481268,1778646500485,1778646500489,4,19221,op-000,ring
1778646480.35,1778646481368,1778646500586,1778646500589,3,19221,op-001,ring
1778646480.36,1778646481469,1778646500688,1778646500693,5,19224,op-002,ring
1778646481.37,1778646481569,1778646500791,1778646500796,5,19227,op-003,ring
1778646481.38,1778646481667,1778646500892,1778646500894,2,19227,op-004,ring
1778646481.39,1778646481772,1778646500997,1778646501001,4,19229,op-005,ring
1778646481.40,1778646481870,1778646501099,1778646501103,4,19233,op-006,ring
1778646481.41,1778646481970,1778646501202,1778646501207,5,19237,op-007,ring
1778646481.42,1778646482075,1778646501305,1778646501310,5,19235,op-008,ring
1778646481.43,1778646482169,1778646501408,1778646501414,6,19245,op-009,ring
1778646481.44,1778646482270,1778646501511,1778646501513,2,19243,op-000,ring
1778646481.45,1778646482372,1778646501615,1778646501619,4,19247,op-001,ring
1778646481.46,1778646482469,1778646501718,1778646501721,3,19252,op-002,ring
1778646482.47,1778646482568,1778646501817,1778646501822,5,19254,op-003,ring
1778646482.48,1778646482670,1778646501918,1778646501923,5,19253,op-004,ring
1778646482.49,1778646482771,1778646502021,1778646502024,3,19253,op-005,ring
1778646482.50,1778646482871,1778646502122,1778646502126,4,19255,op-006,ring
1778646482.51,1778646482969,1778646502224,1778646502229,5,19260,op-007,ring
1778646482.52,1778646483067,1778646502325,1778646502330,5,19263,op-008,ring
1778646482.53,1778646483174,1778646502429,1778646502434,5,19260,op-009,ring
1778646482.54,1778646483272,1778646502531,1778646502537,6,19265,op-000,ring
1778646482.55,1778646483372,1778646502633,1778646502637,4,19265,op-001,ring
1778646482.56,1778646483472,1778646502732,1778646502734,2,19262,op-002,ring
1778646483.57,1778646483571,1778646502834,1778646502839,5,19268,op-003,ring
1778646483.58,1778646483671,1778646502939,1778646502943,4,19272,op-004,ring
1778646483.59,1778646483770,1778646503040,1778646503044,4,19274,op-005,ring
1778646483.60,1778646483864,1778646503141,1778646503146,5,19282,op-006,ring
1778646483.61,1778646483968,1778646503245,1778646503251,6,19283,op-007,ring
1778646483.62,1778646484072,1778646503347,1778646503368,21,19296,op-008,ring
