StartTime;LastResetTime;CurrentTime;ElapsedTime(P);ElapsedTime(C);TargetRate;CallRate(P);CallRate(C);IncomingCall(P);IncomingCall(C);OutgoingCall(P);OutgoingCall(C);TotalCallCreated;CurrentCall;SuccessfulCall(P);SuccessfulCall(C);FailedCall(P);FailedCall(C);FailedCannotSendMessage(P);FailedCannotSendMessage(C);FailedMaxUDPRetrans(P);FailedMaxUDPRetrans(C);FailedTcpConnect(P);FailedTcpConnect(C);FailedTcpClosed(P);FailedTcpClosed(C);FailedUnexpectedMessage(P);FailedUnexpectedMessage(C);FailedCallRejected(P);FailedCallRejected(C);FailedCmdNotSent(P);FailedCmdNotSent(C);FailedRegexpDoesntMatch(P);FailedRegexpDoesntMatch(C);FailedRegexpShouldntMatch(P);FailedRegexpShouldntMatch(C);FailedRegexpHdrNotFound(P);FailedRegexpHdrNotFound(C);FailedOutboundCongestion(P);FailedOutboundCongestion(C);FailedTimeoutOnRecv(P);FailedTimeoutOnRecv(C);FailedTimeoutOnSend(P);FailedTimeoutOnSend(C);FailedTestDoesntMatch(P);FailedTestDoesntMatch(C);FailedTestShouldntMatch(P);FailedTestShouldntMatch(C);FailedStrcmpDoesntMatch(P);FailedStrcmpDoesntMatch(C);FailedStrcmpShouldntMatch(P);FailedStrcmpShouldntMatch(C);OutOfCallMsgs(P);OutOfCallMsgs(C);DeadCallMsgs(P);DeadCallMsgs(C);Retransmissions(P);Retransmissions(C);AutoAnswered(P);AutoAnswered(C);Warnings(P);Warnings(C);FatalErrors(P);FatalErrors(C);WatchdogMajor(P);WatchdogMajor(C);WatchdogMinor(P);WatchdogMinor(C);ResponseTime1(P);ResponseTime1(C);ResponseTime1StDev(P);ResponseTime1StDev(C);CallLength(P);CallLength(C);CallLengthStDev(P);CallLengthStDev(C);ResponseTimeRepartition1;ResponseTimeRepartition1_<10;ResponseTimeRepartition1_<20;ResponseTimeRepartition1_<30;ResponseTimeRepartition1_<40;ResponseTimeRepartition1_<50;ResponseTimeRepartition1_<100;ResponseTimeRepartition1_<150;ResponseTimeRepartition1_<200;ResponseTimeRepartition1_<300;ResponseTimeRepartition1_<500;ResponseTimeRepartition1_<1000;ResponseTimeRepartition1_>=1000;CallLengthRepartition;CallLengthRepartition_<20000;CallLengthRepartition_<21000;CallLengthRepartition_<22000;CallLengthRepartition_<25000;CallLengthRepartition_<30000;CallLengthRepartition_>=30000;
2026-05-13	04:27:59.660586	1778646479.660586;2026-05-13	04:27:59.660586	1778646479.660586;2026-05-13	04:27:59.661944	1778646479.661944;00:00:00;00:00:00;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;
2026-05-13	04:27:59.660586	1778646479.660586;2026-05-13	04:27:59.662750	1778646479.662750;2026-05-13	04:28:59.663614	1778646539.663614;00:01:00;00:01:00;10;9.96667;9.96617;0;0;598;598;598;200;398;398;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:005000;00:00:00:005000;00:00:00:001000;00:00:00:001000;00:00:20:011000;00:00:20:011000;00:00:00:002000;00:00:00:002000;;588;7;2;0;0;0;0;0;0;0;0;0;;0;398;0;0;0;0;
2026-05-13	04:27:59.660586	1778646479.660586;2026-05-13	04:28:59.663953	1778646539.663953;2026-05-13	04:29:59.664935	1778646599.664935;00:01:00;00:02:00;10;9.95;9.958;0;0;597;1195;1195;200;597;995;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:005000;00:00:00:005000;00:00:00:001000;00:00:00:001000;00:00:20:011000;00:00:20:011000;00:00:00:002000;00:00:00:002000;;1182;9;3;0;0;0;0;0;0;0;0;0;;0;995;0;0;0;0;
2026-05-13	04:27:59.660586	1778646479.660586;2026-05-13	04:29:59.666075	1778646599.666075;2026-05-13	04:30:59.668301	1778646659.668301;00:01:00;00:03:00;10;9.933;9.94961;0;0;596;1791;1791;200;596;1591;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:005000;00:00:00:005000;00:00:00:004000;00:00:00:002000;00:00:20:011000;00:00:20:011000;00:00:00:006000;00:00:00:004000;;1772;13;4;1;0;1;0;0;0;0;0;0;;0;1591;0;0;0;0;
2026-05-13	04:27:59.660586	1778646479.660586;2026-05-13	04:30:59.668685	1778646659.668685;2026-05-13	04:31:59.671422	1778646719.671422;00:01:00;00:04:00;10;9.94967;9.94958;0;0;597;2388;2388;200;597;2188;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:005000;00:00:00:005000;00:00:00:001000;00:00:00:002000;00:00:20:011000;00:00:20:011000;00:00:00:002000;00:00:00:004000;;2366;16;4;1;0;1;0;0;0;0;0;0;;0;2188;0;0;0;0;
2026-05-13	04:27:59.660586	1778646479.660586;2026-05-13	04:31:59.672206	1778646719.672206;2026-05-13	04:32:59.671471	1778646779.671471;00:00:59;00:05:00;10;9.95017;9.94967;0;0;597;2985;2985;200;597;2785;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:004000;00:00:00:005000;00:00:00:001000;00:00:00:002000;00:00:20:011000;00:00:20:011000;00:00:00:002000;00:00:00:003000;;2960;18;5;1;0;1;0;0;0;0;0;0;;0;2785;0;0;0;0;
2026-05-13	04:27:59.660586	1778646479.660586;2026-05-13	04:32:59.671640	1778646779.671640;2026-05-13	04:33:59.672473	1778646839.672473;00:01:00;00:06:00;10;9.95;9.9497;0;0;597;3582;3582;200;597;3382;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:005000;00:00:00:005000;00:00:00:001000;00:00:00:002000;00:00:20:011000;00:00:20:011000;00:00:00:002000;00:00:00:003000;;3555;19;6;1;0;1;0;0;0;0;0;0;;0;3382;0;0;0;0;
2026-05-13	04:27:59.660586	1778646479.660586;2026-05-13	04:33:59.672686	1778646839.672686;2026-05-13	04:34:59.674794	1778646899.674794;00:01:00;00:07:00;10;9.94967;9.94967;0;0;597;4179;4179;200;597;3979;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:005000;00:00:00:005000;00:00:00:001000;00:00:00:002000;00:00:20:011000;00:00:20:011000;00:00:00:002000;00:00:00:003000;;4148;23;6;1;0;1;0;0;0;0;0;0;;0;3979;0;0;0;0;
2026-05-13	04:27:59.660586	1778646479.660586;2026-05-13	04:34:59.674993	1778646899.674993;2026-05-13	04:35:59.674570	1778646959.674570;00:00:59;00:08:00;10;9.95017;9.94973;0;0;597;4776;4776;199;598;4577;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:005000;00:00:00:005000;00:00:00:001000;00:00:00:002000;00:00:20:011000;00:00:20:011000;00:00:00:002000;00:00:00:003000;;4738;30;6;1;0;1;0;0;0;0;0;0;;0;4577;0;0;0;0;
2026-05-13	04:27:59.660586	1778646479.660586;2026-05-13	04:35:59.674876	1778646959.674876;2026-05-13	04:36:59.677744	1778647019.677744;00:01:00;00:09:00;10;9.94967;9.94969;0;0;597;5373;5373;199;597;5174;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:005000;00:00:00:005000;00:00:00:001000;00:00:00:002000;00:00:20:011000;00:00:20:011000;00:00:00:002000;00:00:00:003000;;5327;37;7;1;0;1;0;0;0;0;0;0;;0;5174;0;0;0;0;
